threshold,accuracy,precision,recall,specificity,f1,f2,roc_auc,true_positive,false_positive,true_negative,false_negative
0.82,0.7916666666666666,1.0,0.5833333333333334,1.0,0.7368421052631579,0.6363636363636364,0.9618055555555556,14.0,0.0,24.0,10.0
0.83,0.7708333333333334,1.0,0.5416666666666666,1.0,0.7027027027027027,0.5963302752293578,0.9618055555555556,13.0,0.0,24.0,11.0
0.84,0.75,1.0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.9618055555555556,12.0,0.0,24.0,12.0
0.85,0.75,1.0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.9618055555555556,12.0,0.0,24.0,12.0
0.86,0.7291666666666666,1.0,0.4583333333333333,1.0,0.6285714285714286,0.514018691588785,0.9618055555555556,11.0,0.0,24.0,13.0
0.87,0.6875,1.0,0.375,1.0,0.5454545454545454,0.42857142857142855,0.9618055555555556,9.0,0.0,24.0,15.0
0.88,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.38461538461538464,0.9618055555555556,8.0,0.0,24.0,16.0
0.89,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.38461538461538464,0.9618055555555556,8.0,0.0,24.0,16.0
0.9,0.625,1.0,0.25,1.0,0.4,0.29411764705882354,0.9618055555555556,6.0,0.0,24.0,18.0
0.91,0.625,1.0,0.25,1.0,0.4,0.29411764705882354,0.9618055555555556,6.0,0.0,24.0,18.0
0.92,0.6041666666666666,1.0,0.20833333333333334,1.0,0.3448275862068966,0.24752475247524752,0.9618055555555556,5.0,0.0,24.0,19.0
0.93,0.6041666666666666,1.0,0.20833333333333334,1.0,0.3448275862068966,0.24752475247524752,0.9618055555555556,5.0,0.0,24.0,19.0
0.94,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.2,0.9618055555555556,4.0,0.0,24.0,20.0
0.95,0.5625,1.0,0.125,1.0,0.2222222222222222,0.15151515151515152,0.9618055555555556,3.0,0.0,24.0,21.0
